athlete,sport,substance_reason,sanction_terms,sanction_announced
"lima, dylan",cycling,testosterone,3-year suspension - loss of results,04/10/2018
"diaz, nick",mixed martial arts,non-analytical: 3 whereabouts failures,1-year supension,04/09/2018
"britt, teresa",weightlifting,higenamine,2-year suspension - loss of results,04/09/2018
"rothwell, ben",mixed martial arts,testosterone,2-year suspension,04/06/2018
"palicka, megan",weightlifting,ostarine and rad140,3-year suspension - loss of results; sanction tolled due to retirement,04/06/2018
"volrath, frank",weightlifting,"ostarine, rad140, ibutamoren",4-year suspension - loss of results; sanction tolled due to retirement,04/05/2018
"gough, nicholas",triathlon,erythropoietin (epo),4-year suspension - loss of results,04/02/2018
"rosiek, julie",triathlon,androgenic anabolic steroid,2-year suspension - loss of results,03/30/2018
"raymond, abby",weightlifting,ostarine,3-month suspension - loss of results,03/29/2018
"lemos, amanda",mixed martial arts,stanozolol,2-year suspension,03/28/2018
"barnett, josh",mixed martial arts,ostarine,public warning,03/23/2018
"jarrett, kaitlyn",weightlifting,higenamine,1-year suspension - loss of results,03/23/2018
"roman, lazaro",weightlifting,"higenamine, clomiphene, dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,03/09/2018
"cutelaba, ion",mixed martial arts,non-analytical: blood transfusion,6-month suspension,03/08/2018
"calvillo, cynthia",mixed martial arts,cannabinoids,6-month suspension,03/07/2018
"alexandrov, mihail (mike)",swimming,benzoylecgonine and methylecgonine,1-year suspension - loss of results,03/06/2018
"anyanwu, azunna",mixed martial arts,furosemide,1-year suspension,03/02/2018
"tukhugov, zubaira",mixed martial arts,ostarine,2-year suspension,02/15/2018
"magomedov, ruslan",mixed martial arts,ostarine,2-year suspension,02/15/2018
"wallhead, jim",mixed martial arts,ostarine,9-month suspension,02/06/2018
"de tomas, carls john",mixed martial arts,furosemide,1-year suspension,02/05/2018
"mulheron, james",mixed martial arts,clomiphene,1-year suspension,01/30/2018
"less, david",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,01/29/2018
*name removed,paralympic alpine skiing,torsemide,no fault or negligence,
"webb, craig",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,01/26/2018
"schumm, jennifer",cycling,testosterone,4-year suspension - loss of results,01/25/2018
"jackson, sharon",racquetball,spironolactone,public warning,01/24/2018
"harrison, marck",boccia,chlorthalidone,public warning,01/24/2018
"travis, alyssa",weightlifting,non-analytical: refusal to submit to sample: collection,4-year suspension - loss of results,01/23/2018
"grayson, lemuel",weightlifting,hydrochlorothiazide,public warning,01/22/2018
"beyer, bill",triathlon,testosterone,2-year suspension - loss of results,01/19/2018
"rivera, francisco",mixed martial arts,clenbuterol,4-year suspension,01/19/2018
"oliver, jordan",wrestling,amphetamine,1-year suspension - loss of results,01/09/2018
"penne, jessica",mixed martial arts,dehydroepiandrosterone (dhea),18-month suspension,01/05/2018
"vennera, james",archery,metoprolol,public warning,01/05/2018
"miller, jeffery",cycling,"testosterone, human growth hormone (hgh), oxandrolone",4-year suspension - loss of results,12/28/2017
"patel, vikas",track and field,non-analytical: ostarine,4-year suspension - loss of results; sanction tolled due to retirement,12/27/2017
"wolter, kenna",track and field,"non-analytical: ostarine, methylstenbolone",2-year suspension - loss of results,12/22/2017
"sanford, jonathan",track and field,non-analytical: use and possession (ostarine),1-year suspension - loss of results,12/21/2017
"zoda, michael",weightlifting,non-analytical: possession (peptides),2-year suspension - loss of results,12/20/2017
"polk, tori",track and field,non-analytical: possession (peptides),2-year suspension - loss of results,12/15/2017
"harroufi, abdelmounaim",track and field,non-analytical: use and possession (aicar),4-year suspension - loss of results,12/08/2017
"henderson, jay",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,12/07/2017
"boss, logan",track and field,canrenone,public warning,12/06/2017
"owusu-nyantekyi, nana",track and field,non-analytical: use and possession (ostarine),1-year suspension from 1/8/2017 - loss of results from 8/25/2015,12/04/2017
"bailey, ryan","bobsled and skeleton, track and field","1,3-dimethylbutylamine (dmba)",2-year suspension with 161 day credit - loss of results,original: 08/03/2017; updated: 12/01/2017
"blandford, jenna","cycling, triathlon","non-analytical: use and possession (testosterone, hgh and oxandrolone)",4-year suspension - loss of results,11/28/2017
"dates, royce",track and field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,11/21/2017
"roberts, lisa",triathlon,vilanterol,public warning - loss of results,11/10/2017
"bell, kenwood (kenta)",track and field - athlete support personnel,"non-analytical: possession, adminstration and complicity",lifetime; second violation,11/08/2017
*name removed,volleyball,"hydrochlorothiazide, triamterene",no fault or negligence,
"westbrook, atlanta",track and field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,11/03/2017
*name removed,mixed martial arts,clenbuterol,no fault or negligence,
"felipe cabral de almeida, carlos",mixed martial arts,stanozolol metabolites,2-year suspension,10/20/2017
"taylor, jesse",mixed martial arts,clomiphene,1-year suspension,10/13/2017
"vance, shaquille",paralympic track and field,non-analytical: evading sample collection,4 year suspension with 1 year reduction - loss of results,10/10/2017
"roehrick, nick",mixed martial arts,clomiphene and its metabolite,1-year suspension,09/21/2017
"schiefer, john",cycling,clomiphene and its metabolite,6-month suspension - loss of results,09/06/2017
"wuebben, zachary",weightlifting,clomiphene and methylphenidate metabolite ritalinic acid,4-year suspension - loss of results,08/31/2017
"heinzl, sarah",paralympic basketball,non-analytical: use (higenamine),public warning,08/29/2017
"leogrande, kayle",cycling,"raloxifene, ostarine, ibutamoren, gw1516 sulfone, rad140, lgd4033, andarine",8-year suspension - loss of results,08/28/2017
"herbert, zack",weightlifting,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results; sanction tolled due to retirement; unretired - eligible to compete starting 3/7/2020,08/22/2017
"cannetti, guido",mixed martial arts,"hydrochlorothiazide, chlorothiazide, ostarine and stanozolol metabolites",10-month suspension,08/18/2017
"acevedo-fuller, carlee",weightlifting,"higenamine, 1,4-dimethylpentylamine",9-month suspension - loss of results,08/16/2017
"goodwin, marquise",track and field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,08/15/2017
"carter, chris",track and field,ostarine,9-month suspension - loss of results,08/11/2017
"blazejack, tony",cycling,clenbuterol,4-year suspension - loss of results,08/08/2017
"stohr, riley",luge,cannabinoids,6-month suspension - loss of results; sanction tolled due to retirement,07/27/2017
"cruse, j.c.",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,07/20/2017
"bushey, kayla",track and field,non-analytical: use and possession,2-year suspension - loss of results,07/19/2017
"mcpherson, scott",track and field,androgenic anabolic steroid,4-year suspension - loss of results; sanction tolled due to retirement,07/17/2017
"nguyen, tam",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,07/14/2017
"johnson, gea",cycling,modafinil,21-month suspension - loss of results,07/07/2017
"barnes, benjamin",weightlifting,gw1516,4-year suspension - loss of results,06/30/2017
"bayer, david",weightlifting,clomiphene and gw1516,2.5-year suspension - loss of results,06/30/2017
*name removed,track and field,probenecid,no fault or negligence,
"sullivan, george",mixed martial arts,clomiphene and its metabolite,1-year suspension; second violation,06/20/2017
*name removed,track and field,zeranol,no fault or negligence - loss of results,
"gibilaro, ariel",archery,canrenone,public warning,06/16/2017
"dykes, kelly",weightlifting,ostarine,8-year suspension - loss of results; second violation,06/08/2017
"park, peter",paralympic track and field,androgenic anabolic steroid,21-month suspension - loss of results,06/08/2017
"nackoul, michael",weightlifting,non-analytical: possession (peptides),4-year suspension - loss of results,06/02/2017
"dosterschill, robert kyle",weightlifting,"androgenic anabolic steroid, amphetamine, drostanolone, mesterolone and dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,05/31/2017
"moore, tyler",weightlifting,ostarine,4-year suspension - loss of results; sanction tolled due to retirement,05/26/2017
"creveling, chris",speedskating,clomiphene,4-year suspension - loss of results; sanction tolled due to retirement,05/15/2017
"young, jason",track and field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,05/12/2017
"gastelum, kelvin",mixed martial arts,cannabinoids,6-month suspension with 3-month deferral,05/11/2017
"gingras, michael",weightlifting - athlete support personnel,"non-analytical: possession, trafficking, and administration",lifetime suspension with reduction  to 12 years - loss of results; sanction tolled due to retirement,05/11/2017
"oliver, imani",track and field,ostarine,1-year suspension - loss of results,05/09/2017
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),4-year suspension: sanction is tolled until athlete returns from retirement. second violation.,05/05/2017
"moore, darien",track and field,methandienone,4-year suspension - loss of results,05/04/2017
"harvey, scot",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,05/03/2017
"nielson, cliff",track and field,non-analytical: use and possession (peptides),4-year suspension - loss of results,05/02/2017
"beckwith-ludlow, molly",track and field,clomiphene,public warning,05/01/2017
"mir, francisco",mixed martial arts,dehydrochloromethyltestosterone (dhcmt),2-year suspension,04/21/2017
"rollins, brianna",track and field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,04/20/2017
"geving, amanda",cycling,acetazolamide,12-month suspension - loss of results,04/19/2017
"schrodt, patrick ""dillon""",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,04/06/2017
"ledet, justin",mixed martial arts,1-testosterone and 1-androstenedione,4-month suspension,04/05/2017
"good, lyman",mixed martial arts,1-androstenedione and its metabolite,6-month suspension,04/03/2017
"nicolau pereira, matheus",mixed martial arts,anastrozole,1-year suspension,03/29/2017
"hall, mary",weightlifting,oxandrolone and its metabolite,4-year suspension - loss of results,03/28/2017
"pires nogueira, leonardo",brazilian jiu-jitsu,clomiphene,2-year suspension - loss of results,03/27/2017
"andrade, viscardi",mixed martial arts,stanozolol and its metabolites,2-year suspension,03/21/2017
"dykes, kelly",weightlifting,"clenbuterol, ostarine, and a tamoxifen metabolite",4-year suspension - loss of results,03/16/2017
"green, roderick","paralympic track and field, paralympic volleyball",ostarine,9-month suspension - loss of results,03/14/2017
"prenoveau, robert",paralympic curling,hydrochlorothiazide and chlorothiazide,public warning - loss of results,03/07/2017
"cosby-toruga, jessica",track and field,androgenic anabolic steroid,6-year suspension - loss of results; second violation; sanction tolled due to retirement,03/06/2017
"dawson, gabriel",weightlifting,amphetamine,4-year suspension - loss of results,03/02/2017
"lawlor, tom",mixed martial arts,ostarine,2-year suspension,02/24/2017
"pierik, vincent",weightlifting,"19-norandrosterone (19-na), drostanolone and its metabolites, and epitrenbolone",4-year suspension - loss of results,02/21/2017
"thomas, tammy",cycling,norbolethone,lifetime ban - loss of results - sanction reduced,original: 08/30/2002; updated: 02/13/2017
"harper-nelson, dawn",track and field,hydrochlorothiazide,3-month suspension - loss of results,02/07/2017
*name removed,mixed martial arts,meldonium,no fault or negligence,
*name removed,track and field,clenbuterol,no fault or negligence,
"olivieri, luis felipe",mixed martial arts,methyltestosterone,2-year suspension,01/25/2017
"vrabel, andrew",weightlifting,non-analytical,4-year suspension - loss of results; sanction tolled due to retirement,01/11/2017
"chan, charis",weightlifting,epitrenbolone,4-year suspension - loss of results,01/09/2017
"matsushima, angelique",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,01/06/2017
"lesnar, brock",mixed martial arts,clomiphene,1-year suspension,01/04/2017
"lamour, joseph",team handball,amphetamine,2-year suspension - loss of results,12/22/2016
"ferreira, carlos diego",mixed martial arts,ostarine and 7-keto-dhea,17-month suspension,12/21/2016
"mazzie, joseph",roller sports,rad140 and ibutamoren,4-year suspension - loss of results,12/20/2016
"hudson, ryan",weightlifting,stanozolol metabolites,4-year suspension - loss of results,12/15/2016
"mossberg, nick",track and field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,12/14/2016
"luton, thomas",cycling,"non-analytical: use and possession (epo, hgh, testosterone)",4-year suspension - loss of results,12/13/2016
"reyes, brandon",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,12/07/2016
"moore, nicole",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,12/05/2016
"pinney, ryan",paralympic cycling,androgenic anabolic steroid,18-month suspension - loss of results,12/01/2016
"machida, lyoto",mixed martial arts,7?keto?dhea,18-month suspension,11/16/2016
"sullivan, george",mixed martial arts,non-analytical: use (igf-1),1-year suspension,11/08/2016
"dunkum, michael",wrestling,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,11/07/2016
"jones, jon",mixed martial arts,"clomiphene, letrozole",1-year suspension,11/07/2016
"bidlow, cody",track and field,non-analytical:: use (peptides),4-year suspension - loss of results,11/03/2016
"root, tim",cycling,non-analytical: failure to appear to sample collection,4-year suspension - loss of results,11/02/2016
"ulloa, camilo",cycling,androgenic anabolic steroid and methylphenidate,4-year suspension - loss of results,10/26/2016
"edilov, abdul-kerim",mixed martial arts,meldonium,15 month suspension - loss of results,10/21/2016
"danielson, tom",cycling,androgenic anabolic steroid,4-year suspension - loss of results; second violation,10/06/2016
"diaz, nate",mixed martial arts,cannabinoids,public warning,10/06/2016
"tovar, oscar",cycling,androgenic anabolic steroid,2-year suspension - loss of results - additional results disqualified,original: 10/28/2015; updated: 10/04/2016
"d'aurelio, shawn",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,10/03/2016
"kimmons, trell",track and field,"1,3-dimethylbutylamine",2-year suspension - loss of results,09/27/2016
"schwab, jeff",cycling,androgenic anabolic steroid,2-year suspension - loss of results,09/08/2016
"rivera, rizelyx",weightlifting,oxycodone,1-year suspension - loss of results,09/06/2016
*name removed,mixed martial arts,clenbuterol,no fault or negligence,
"fagua raquira, ana milena",cycling,androgenic anabolic steroid,4-year suspension - loss of results,09/01/2016
*name removed,mixed martial arts,clenbuterol,no fault or negligence,
*name removed,triathlon,meldonium,no fault or negligence - loss of results,
"denney phillips, jessica","cycling, weightlifting",non-analytical: use (iv),14 month suspension - loss of results,08/24/2016
"baatz, robert",cycling,androgenic anabolic steroid,2-year suspension - loss of results,08/23/2016
"ciolli, kimberly",cycling,androgenic anabolic steroid and propylhexadrine,2-year suspension - loss of results,08/22/2016
"burka gameda, gebo",track and field,prednisone,18-month suspension - loss of results,08/19/2016
"verrando-higgins, mary",cycling,metabolites of methyltestosterone,1-year suspension - loss of results,08/15/2016
"riggs, crystal",weightlifting,furosemide,6-month suspension - loss of results,08/12/2016
"cawley, thomas",track and field,non-analytical: use,4-year suspension - loss of results; sanction tolled due to retirement,08/11/2016
*name removed,mixed martial arts,clenbuterol,no fault or negligence,
"anderson, robert",paralympic judo,non-analytical: use (vilanterol),3-month suspension - loss of results,08/04/2016
"palmer, liz",track and field,methandienone metabolite,4-year suspension with 6 month reduction - loss of results,08/03/2016
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),2-year suspension - loss of results,07/29/2016
*name removed,swimming,meldonium,no fault or negligence,
*name removed,mixed martial arts,meldonium,no fault or negligence,
"bough, gino",karate,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,07/25/2016
*name removed,swimming,meldonium,no fault or negligence - loss of results,
*name removed,track and field,meldonium,no fault or negligence,
"mendes, chad",mixed martial arts,growth hormone-releasing hexapeptide,2-year suspension - loss of results,07/20/2016
"pizza, gregory",track and field,androgenic anabolic steroid,20-month suspension - loss of results,07/20/2016
"dutta, susan",equestrian,methylprednisolone,public warning - loss of results,07/19/2016
*name removed,volleyball,meldonium,no fault or negligence,
*name removed,gymnastics,hydrochlorothiazide,no fault or negligence,
"howe, james",taekwondo,cannabinoids,6-month suspension with 3-month deferral - loss of results,07/12/2016
"brandt-sorenson, nick",cycling,"non-analytical: possession, trafficking and complicity  (epo & hgh)",lifetime suspension - loss of results; second & third violation,07/11/2016
"penn, bj",mixed martial arts,non-analytical: use (iv),6-month suspension,06/27/2016
"tierney, sam",swimming,non-analytical: use (vilanterol),public warning,06/24/2016
"berry, gwen",track and field,non-analytical: use (vilanterol),3-month suspension - loss of results,06/13/2016
"williams, nia",rugby,"19-norandrosterone (19-na), 19-noretiocholanolone, and drostanolone and its metabolites",4-year suspension - loss of results,06/13/2016
"means, tim",mixed martial arts,ostarine,6-month suspension - loss of results,06/10/2016
"brandao, diego",mixed martial arts,cannabinoids,9-month suspension - loss of results,05/19/2016
"faria, breno correina abrantes",brazilian jiu-jitsu - athlete support personnel,non-analytical,4-year suspension - loss of results,05/18/2016
"lehr, daniel",weightlifting,"androstenedione, ostarine",4-year suspension with 3-month reduction - loss of results,05/02/2016
"fischbach, dylan",paralympic basketball,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results - additional results disqualified,original: 12/18/2015; updated: 04/11/2016
"lugo, yamile",cycling,androgenic anabolic steroid,4-year suspension with 2-year reduction - loss of results,04/26/2016
"romero, yoel",mixed martial arts,ibutamoren,6-month suspension,04/04/2016
"de castroverde, landon",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,04/01/2016
"paulson, ashley",triathlon,ostarine,6-month suspension - loss of results,03/31/2016
"cho, chris hyun",weightlifting,dimethylbutylamine,6-month suspension - loss of results,03/30/2016
"buckley, michael",cycling,"androgenic anabolic steroid, anastrozole, lgd-4033 and ostarine",4-year suspension - loss of results,03/25/2016
"lo, wayne",paralympic table tennis,hydrochlorothiazide and chlorothiazide,public warning - loss of results,03/09/2016
"lea, robert",cycling,noroxycodone,6-month suspension - loss of results,original: 12/17/2015; updated: 02/25/2016
"tibau, gleison",mixed martial arts,erythropoietin (epo),2-year suspension - loss of results,02/18/2016
"leeper, blake (patrick)",paralympic track and field,benzoylecgonine,1-year suspension - loss of results,02/01/2016
"kyle, cicely",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,12/30/2015
"roberto, joseph",weightlifting,ghrp-2,4-year suspension - loss of results,12/29/2015
"mariita, lilian",track and field,androgenic anabolic steroid,8-year suspension - loss of results,12/28/2015
"harbert, tara",baseball,tamoxifen and non-analytical: refusal to submit to sample collection,8-year suspension - loss of results; sanction tolled due to retirement,12/21/2015
"rolo, nelson",cycling,benzoylecgonine,1-year suspension - loss of results,12/11/2015
"hickman, todd",cycling,stanozolol / methylphenidate,4-year suspension - loss of results,12/04/2015
"filipovic, mirko",mixed martial arts,human growth hormone (hgh),2-year suspension - loss of results,11/25/2015
"arello jr., robert",track and field,"hydrochlorothiazide, chlorothiazide",public warning - loss of results,10/27/2015
"coushay, brian",track and field,amphetamine,2-year suspension - loss of results,10/23/2015
"mulwitz, lauren",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,09/11/2015
"trafeh, mohamed",track and field,"non-analytical: use and possession (epo), and evading sample collection",4-year suspension - loss of results,original: 12/18/2014; updated: 08/25/2015
"rybka, jason",weightlifting,"methasterone, ostarine, androstatrienedione",4-year suspension with 8 month reduction - loss of results,08/18/2015
"field, emily",ice hockey,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,06/08/2015
"radcliffe, robert",triathlon,"non-analytical: use and possession (epo, hgh)",18-month suspension - loss of results,06/05/2015
"radcliffe, brook",triathlon,non-analytical: use and possession (epo),2-year suspension - loss of results,06/04/2015
"schmidt, kyle",cycling,non-analytical: use and possession (epo),2-year suspension - loss of results,06/02/2015
"pena, felipe",brazilian jiu-jitsu,androgenic anabolic steroid,2-year suspension with 1 year reduction - loss of results,05/26/2015
"luck, jonathan (carter)",cycling,non-analytical: use and possession (hgh & testosterone),12-month suspension - loss of results,05/13/2015
"mcgillivray, deanna",team handball,"trenbolone, epitrenbolone",2-year suspension - loss of results,04/02/2015
"mutinda, joseph",track and field,"19-norandrosterone, epo, furosemide",3-year suspension - loss of results,03/25/2015
"odesnik, wayne",tennis,"methenolone, androst-(2,3)-en-17-one, and ghrp-6",15-year suspension - loss of results,03/18/2015
"ketema asfaw, atalelech",track and field,ephedrine,2-year suspension - loss of results,03/12/2015
"leinders, geert",cycling - athlete support personnel,"non-analytical: possession, trafficking, and administration",lifetime suspension,01/22/2015
"north, jonathan",weightlifting,non-analytical: 3 whereabouts failures,2-year suspension - loss of results; sanction tolled due to retirement; unretired - eligible to compete starting 2/1/2019,01/22/2015
"poole, quintaveon",track and field,methylhexaneamine,6-month suspension - loss of results,01/20/2015
"anderson, kristi",track and field,androgenic anabolic steroid,1-year suspension - loss of results,12/23/2014
"mcpherson, inika",track and field,benzoylecgonine,21-month suspension - loss of results,12/19/2014
"drummond, jon",track and field - athlete support personnel,"non-analytical: possession, trafficking, and administration",8-year suspension,12/17/2014
"estima, braulio",brazilian jiu-jitsu,methylhexaneamine,2-year suspension - loss of results,11/25/2014
"carlin, nikki",weightlifting,"clenbuterol, and oxandrolone and its metabolite",2-year suspension - loss of results; sanction tolled due to a whereabouts compliance failure,11/14/2014
"perkins, ravaughn",wrestling,furosemide,6-month suspension - loss of results,10/16/2014
"erickson, sarah",ice hockey,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,10/13/2014
"dana, ryan",weightlifting,androgenic anabolic steroid,21-month suspension - loss of results,10/09/2014
"o'hara, damian",judo,"methylclostebol, promagnon",1-year suspension - loss of results,10/08/2014
"spearmon, jr., wallace",track and field,methylprednisolone,3-month suspension - loss of results,09/19/2014
"martin, james",cycling,non-analytical: failure to appear to sample collection,2-year suspension - loss of results,08/19/2014
"loader, logan",cycling,methylhexaneamine,8-month suspension - loss of results; sanction tolled due to retirement,07/16/2014
"ives, kevin",bobsled and skeleton,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,07/08/2014
"hicks, jeremy",track and field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,06/20/2014
"trojan, nicholas",rowing,methylphenidate and its metabolite,9-month suspension - loss of results,06/11/2014
"dixon, reginald",track and field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,06/06/2014
"blanc, obenson",wrestling,ostarine,2-year suspension - loss of results,05/15/2014
"robertson, todd",cycling,modafinil,8-year suspension - loss of results; second violation,05/08/2014
"gay, tyson",track and field,androgenic anabolic steroid,2-year suspension with 1 year reduction - loss of results,05/02/2014
"koon, paul",boxing,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,04/28/2014
"davis, walter",track and field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,04/21/2014
"carnes, andrew",track and field,"non-analytical: possession, use and possession (epo)",2-year suspension - loss of results,04/18/2014
"lemos garcia, gabrielle",brazillian jiu-jitsu,clomiphene,loss of results,03/26/2014
"o'keefe, shannon",bowling,clomiphene,public warning,03/14/2014
"atkinson, annie",judo,"hydrochlorothiazide, chlorothiazide, triamterene, 4-hydroxytriamterene",3-month suspension - loss of results,02/28/2014
"perry, brett",speedskating,methylphenidate and its metabolite,9-month suspension - loss of results,02/26/2014
"beyene, hirut",track and field,methylhexaneamine,4 month suspension - loss of results,02/21/2014
"marte, cesar",cycling,modafinil,2-year suspension - loss of results,02/03/2014
"baker, daniel",cycling,androgenic anabolic steroid,2-year suspension - loss of results,01/24/2014
"robles, sarah",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,01/14/2014
"leduc, david",cycling,"androgenic anabolic steroid,  erythropoietin (epo) and amphetamine",2-year suspension - loss of results,12/30/2013
"klineman, alexandra",volleyball,androgenic anabolic steroid,13-month suspension - loss of results,12/20/2013
"akor, mary",track and field,clenbuterol,2-year suspension - loss of results,12/18/2013
"rogers, jason",cycling,methylhexaneamine,9-month suspension - loss of results,11/27/2013
"meeker, richard",cycling,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,11/26/2013
"morelli, shawn",paralympic cycling,methylhexaneamine,180 day suspension - loss of results,11/15/2013
"camarena-williams, jillian",track and field,clomiphene,6-month suspension - loss of results,10/04/2013
"crouse, camdin",paralympic track and field,amphetamine and methylhexaneamine,2-year suspension - loss of results; sanction extended due to a whereabouts compliance failure,09/23/2013
"walden, spencer",track and field,cannabinoids,6-month suspension with 3-month deferral - loss of results,09/20/2013
"bradley, dominique",wrestling,methylhexaneamine,8-month suspension - loss of results,09/06/2013
"aira, yoelkis",cycling,phentermine,2-year suspension - loss of results,09/05/2013
"ramos, don",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,08/30/2013
"flood, gregory",rowing,glycerol,public warning - loss of results,08/20/2013
"petrucci, frank",rowing,glycerol,public warning - loss of results,08/20/2013
"klier, andreas",cycling,"non-analytical: use (epo, hgh, cortisone, blood tranfusions)",6-month suspension - loss of results,08/15/2013
"dyer, kristopher",weightlifting,methylhexaneamine,9-month suspension - loss of results,08/09/2013
"wilhelm, brian",weightlifting,methylhexaneamine,9-month suspension - loss of results,08/08/2013
"teeple, sloan","cycling, triathlon",androgenic anabolic steroid,18-month suspension - loss of results,06/28/2013
"anwar, abdallah",paralympic boccia,hydrochlorothiazide and chlorothiazide,public warning,06/20/2013
"ostrowski, cameron",track and field,methylhexaneamine,2-year suspension with 1 year reduction - loss of results,06/07/2013
"dotti, juan pablo",cycling,androgenic anabolic steroid & amphetamine,2-year suspension - loss of results;  2-year suspension restarted - loss of results,original: 10/20/2011; updated: 06/05/2013
"downing, trey",track and field,non-analytical: refusal to submit to sample collection,18-month suspension - loss of results,05/31/2013
"flanagan, tyler",skiing and snowboarding,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results; sanction tolled,05/09/2013
"pol rodriguez, yosmani",cycling,dexamethasone,2-year suspension - loss of results,04/19/2013
"crawford, shawn",track and field,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,04/18/2013
"morales, erik",professional boxing,clenbuterol,2-year suspension - loss of results,03/22/2013
"hersey, mike",paralympic sailing,hydrochlorothiazide and chlorothiazide,public warning,03/12/2013
"wenzel, roger",track and field,androgenic anabolic steroid and modafinil,2-year suspension - loss of results,03/08/2013
"aldredge, graham",cycling,non-analytical: failure to appear to sample collection,16-month suspension - loss of results,02/22/2013
"jay-rayon, cyril",cycling,modafinil,18-month suspension - loss of results,12/31/2012
"hall, joseph",shooting,19-norandrosterone (19-na) and 19-noretiocholanolone,1-year suspension - loss of results,12/21/2012
"vessey, maggie",track and field,canrenone,public warning - loss of results,12/21/2012
"hesch, christian",track and field,non-analytical: use (epo),2-year suspension with 6 month reduction - loss of results,12/14/2012
"fretta, mark",triathlon,abp and non-analytical: use (epo),4-year suspension - loss of results,11/09/2012
"barry, michael",cycling,"non-analytical: use (epo, hgh, testosterone)",6-month suspension - loss of results,10/10/2012
"danielson, tom",cycling,"non-analytical: use (epo, hgh, testosterone, cortisone, blood transfusions)",6-month suspension - loss of results,10/10/2012
"hincapie, george",cycling,"non-analytical: use (epo, hgh, testosterone, blood transfusions)",6-month suspension - loss of results,10/10/2012
"leipheimer, levi",cycling,"non-analytical: use (epo, testosterone, blood transfusions)",6-month suspension - loss of results,10/10/2012
"vande velde, christian",cycling,"non-analytical: use (epo, hgh, testosterone, cortisone)",6-month suspension - loss of results,10/10/2012
"zabriskie, david",cycling,"non-analytical: use (epo, hgh, testosterone)",6-month suspension - loss of results,10/10/2012
"cruz, julio",cycling,methylhexaneamine,6-month suspension - loss of results,09/14/2012
"dunn anderson, debbie",track and field,androgenic anabolic steroid,2-year suspension - loss of results,09/11/2012
"guarini, gabriele",cycling,erythropoietin (epo),2-year suspension - loss of results,09/07/2012
"andrus, steven",wrestling,cannabinoids & amphetamine,1-year suspension - loss of results,08/31/2012
"lopez, cesar",cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,08/31/2012
"armstrong, lance",cycling,"non-analytical: use, possession, trafficking, administration and complicity",lifetime suspension - loss of results,08/24/2012
"bascio, monica","paralympic nordic skiing, paralympic cycling",tuaminoheptane,3-month suspension - loss of results,08/15/2012
"brown, matthew",paralympic track and field,hydrochlorothiazide & chlorothiazide,1-year suspension - loss of results; second violation,08/03/2012
"anthony, david",cycling,erythropoietin (epo),2-year suspension - loss of results,07/25/2012
"fletcher, mark",judo,cannabinoids,3-month suspension - loss of results,07/18/2012
