athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic
"strickler, steven",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2018-11-07,FALSE,FALSE,FALSE
"reyes, polo",mixed martial arts,ostarine,6-month suspension,2018-10-29,FALSE,FALSE,FALSE
"tanski, jeff",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2018-10-18,FALSE,FALSE,FALSE
"scott, bradley",mixed martial arts,cocaine,2-year suspension; sanction tolled due to retirement,2018-10-16,FALSE,FALSE,FALSE
"gonzalez, mijail",cycling,dexamethasone,4-year suspension - loss of results,2018-10-03,FALSE,FALSE,FALSE
"eyler, bob",archery,cannabinoids; propranolol,2-year suspension - loss of results,2018-10-01,FALSE,FALSE,FALSE
"diaz, raul",cycling,"erythropoietin (epo), dexamethasone",4-year suspension - loss of results,2018-09-27,FALSE,FALSE,FALSE
"butterworth, andrew",weightlifting,stanozolol,42-month suspension - loss of results; sanction tolled due to retirement,2018-09-26,FALSE,FALSE,FALSE
"jones, jon",mixed martial arts,chlorine-substituted anabolic steroid,15-month suspension - loss of results,2018-09-19,FALSE,FALSE,FALSE
"dudeck, cameron",weightlifting,dhcmt,4-year suspension - loss of results,2018-09-17,FALSE,FALSE,FALSE
"bedford, stephen",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2018-09-12,FALSE,FALSE,FALSE
"francis, victoria",wrestling,ostarine,1-year suspension - loss of results,2018-08-31,FALSE,FALSE,FALSE
"ortiz, robert",weightlifting,"1,4‐dimethylpentylamine",16-month suspension - loss of results,2018-08-27,FALSE,FALSE,FALSE
"malinowski, emily",weightlifting,androgenic anabolic steroids,45-month suspension - loss of results,2018-08-24,FALSE,FALSE,FALSE
"payne, demi",track & field,drostanolone,4-year suspension - loss of results,2018-08-24,FALSE,FALSE,FALSE
"gaskins, joshua",weightlifting,androgenic anabolic steroids,2-year suspension - loss of results,2018-08-22,FALSE,FALSE,FALSE
"boss, logan",track & field,canrenone,6-month suspension - loss of results,2018-08-21,FALSE,FALSE,FALSE
"frazier, daniel",cycling,"androgenic anabolic steroid, clomiphene",1-year suspension - loss of results,2018-08-15,FALSE,FALSE,FALSE
"ssekyaaya, charles",weightlifting,"1,3-dimethylbutylamine (dmba)",9-month suspension - loss of results,2018-08-13,FALSE,FALSE,FALSE
"ferraro,  anthony",paralympic judo,cannabinoids,6-month suspension with 3-month deferral - loss of results,2018-08-08,FALSE,FALSE,TRUE
"mazur, bruce",cycling,androgenic anabolic steroids,4-year suspension - loss of results,2018-08-01,FALSE,FALSE,FALSE
"casey, jack",swimming,anastrozole,6-month suspension - loss of results,2018-07-26,FALSE,FALSE,FALSE
"lochte, ryan",swimming,non-analytical: use (iv),14-month suspension,2018-07-23,FALSE,FALSE,FALSE
"silva, anderson",mixed martial arts,methyltestosterone; hydrochlorothiazide,1-year suspension,2018-07-18,FALSE,FALSE,FALSE
"meacham, michael",triathlon,androgenic anabolic steroids,1-year suspension - loss of results,2018-06-29,FALSE,FALSE,FALSE
"oleksiejczuk, michał",mixed martial arts,clomiphene,1-year suspension,2018-06-12,FALSE,FALSE,FALSE
"ainslie, roger",cycling,gw1516,42-month suspension - loss of results,2018-06-08,FALSE,FALSE,FALSE
"brown, buster",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2018-06-01,FALSE,FALSE,FALSE
"gross, scott",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2018-05-22,FALSE,FALSE,FALSE
"chipangama, jordan",track & field,meldonium,4-year suspension - loss of results,2018-05-15,FALSE,FALSE,FALSE
"colunga, cesar",karate,methylphenidate,4-month suspension - loss of results,2018-05-09,FALSE,FALSE,FALSE
"kendall, amanda",swimming,non-analytical: use (vilanterol),3-month suspension - loss of results,2018-05-08,FALSE,FALSE,FALSE
"dahlkemper, abigail",soccer,spironolactone,public warning,2018-05-04,FALSE,FALSE,FALSE
"nogueira, antonio rogerio",mixed martial arts,hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE
"almeida, junior dos santos",mixed martial arts,hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE
"de lima, marcos rogerio",mixed martial arts,anastrozole; hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE
"griffin, jason",paralympic cycling,benzoylecgonine and methylecgonine,1-year suspension - loss of results,2018-04-18,FALSE,FALSE,TRUE
"rivera, jessica",weightlifting,stanozolol,4-year suspension -  loss of results,2018-04-16,FALSE,FALSE,FALSE
"miller, barry",cycling,androgenic anabolic steroid,1-year suspension -  loss of results,2018-04-13,FALSE,FALSE,FALSE
"lima, dylan",cycling,testosterone,3-year suspension - loss of results,2018-04-10,FALSE,FALSE,FALSE
"diaz, nick",mixed martial arts,non-analytical: 3 whereabouts failures,1-year supension,2018-04-09,FALSE,FALSE,FALSE
"britt, teresa",weightlifting,higenamine,2-year suspension - loss of results,2018-04-09,FALSE,FALSE,FALSE
"rothwell, ben",mixed martial arts,testosterone,2-year suspension,2018-04-06,FALSE,FALSE,FALSE
"palicka, megan",weightlifting,ostarine and rad140,3-year suspension - loss of results; sanction tolled due to retirement,2018-04-06,FALSE,FALSE,FALSE
"volrath, frank",weightlifting,"ostarine, rad140, ibutamoren",4-year suspension - loss of results; sanction tolled due to retirement,2018-04-05,FALSE,FALSE,FALSE
"gough, nicholas",triathlon,erythropoietin (epo),4-year suspension - loss of results,2018-04-02,FALSE,FALSE,FALSE
"rosiek, julie",triathlon,androgenic anabolic steroid,2-year suspension - loss of results,2018-03-30,FALSE,FALSE,FALSE
"raymond, abby",weightlifting,ostarine,3-month suspension - loss of results,2018-03-29,FALSE,FALSE,FALSE
"lemos, amanda",mixed martial arts,stanozolol,2-year suspension,2018-03-28,FALSE,FALSE,FALSE
"barnett, josh",mixed martial arts,ostarine,public warning,2018-03-23,FALSE,FALSE,FALSE
"jarrett, kaitlyn",weightlifting,higenamine,1-year suspension - loss of results,2018-03-23,FALSE,FALSE,FALSE
"roman, lazaro",weightlifting,"higenamine, clomiphene, dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,2018-03-09,FALSE,FALSE,FALSE
"cutelaba, ion",mixed martial arts,non-analytical: blood transfusion,6-month suspension,2018-03-08,FALSE,FALSE,FALSE
"calvillo, cynthia",mixed martial arts,cannabinoids,6-month suspension,2018-03-07,FALSE,FALSE,FALSE
"alexandrov, mihail (mike)",swimming,benzoylecgonine and methylecgonine,1-year suspension - loss of results,2018-03-06,FALSE,FALSE,FALSE
"anyanwu, azunna",mixed martial arts,furosemide,1-year suspension,2018-03-02,FALSE,FALSE,FALSE
"tukhugov, zubaira",mixed martial arts,ostarine,2-year suspension,2018-02-15,FALSE,FALSE,FALSE
"magomedov, ruslan",mixed martial arts,ostarine,2-year suspension,2018-02-15,FALSE,FALSE,FALSE
"wallhead, jim",mixed martial arts,ostarine,9-month suspension,2018-02-06,FALSE,FALSE,FALSE
"de tomas, carls john",mixed martial arts,furosemide,1-year suspension,2018-02-05,FALSE,FALSE,FALSE
"mulheron, james",mixed martial arts,clomiphene,1-year suspension,2018-01-30,FALSE,FALSE,FALSE
"less, david",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,2018-01-29,FALSE,FALSE,FALSE
"webb, craig",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2018-01-26,FALSE,FALSE,FALSE
"schumm, jennifer",cycling,testosterone,4-year suspension - loss of results,2018-01-25,FALSE,FALSE,FALSE
"jackson, sharon",racquetball,spironolactone,public warning,2018-01-24,FALSE,FALSE,FALSE
"harrison, marck",boccia,chlorthalidone,public warning,2018-01-24,FALSE,FALSE,FALSE
"travis, alyssa",weightlifting,non-analytical: refusal to submit to sample: collection,4-year suspension - loss of results,2018-01-23,FALSE,FALSE,FALSE
"grayson, lemuel",weightlifting,hydrochlorothiazide,public warning,2018-01-22,FALSE,FALSE,FALSE
"beyer, bill",triathlon,testosterone,2-year suspension - loss of results,2018-01-19,FALSE,FALSE,FALSE
"rivera, francisco",mixed martial arts,clenbuterol,4-year suspension,2018-01-19,FALSE,FALSE,FALSE
"oliver, jordan",wrestling,amphetamine,1-year suspension - loss of results,2018-01-09,FALSE,FALSE,FALSE
"penne, jessica",mixed martial arts,dehydroepiandrosterone (dhea),18-month suspension,2018-01-05,FALSE,FALSE,FALSE
"vennera, james",archery,metoprolol,public warning,2018-01-05,FALSE,FALSE,FALSE
"miller, jeffery",cycling,"testosterone, human growth hormone (hgh), oxandrolone",4-year suspension - loss of results,2017-12-28,FALSE,FALSE,FALSE
"patel, vikas",track & field,non-analytical: ostarine,4-year suspension - loss of results; sanction tolled due to retirement,2017-12-27,FALSE,FALSE,FALSE
"wolter, kenna",track & field,"non-analytical: ostarine, methylstenbolone",2-year suspension - loss of results,2017-12-22,FALSE,FALSE,FALSE
"sanford, jonathan",track & field,non-analytical: use and possession (ostarine),1-year suspension - loss of results,2017-12-21,FALSE,FALSE,FALSE
"zoda, michael",weightlifting,non-analytical: possession (peptides),2-year suspension - loss of results,2017-12-20,FALSE,FALSE,FALSE
"polk, tori",track & field,non-analytical: possession (peptides),2-year suspension - loss of results,2017-12-15,FALSE,FALSE,FALSE
"harroufi, abdelmounaim",track & field,non-analytical: use and possession (aicar),4-year suspension - loss of results,2017-12-08,FALSE,FALSE,FALSE
"henderson, jay",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2017-12-07,FALSE,FALSE,FALSE
"boss, logan",track & field,canrenone,public warning,2017-12-06,FALSE,FALSE,FALSE
"owusu-nyantekyi, nana",track & field,non-analytical: use and possession (ostarine),1-year suspension from 1/8/2017 - loss of results from 8/25/2015,2017-12-04,FALSE,FALSE,FALSE
"blandford, jenna","cycling, triathlon","non-analytical: use and possession (testosterone, hgh and oxandrolone)",4-year suspension - loss of results,2017-11-28,FALSE,TRUE,FALSE
"dates, royce",track & field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,2017-11-21,FALSE,FALSE,FALSE
"roberts, lisa",triathlon,vilanterol,public warning - loss of results,2017-11-10,FALSE,FALSE,FALSE
"bell, kenwood (kenta)",track & field - athlete support personnel,"non-analytical: possession, adminstration and complicity",lifetime; second violation,2017-11-08,TRUE,FALSE,FALSE
"westbrook, atlanta",track & field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,2017-11-03,FALSE,FALSE,FALSE
"felipe cabral de almeida, carlos",mixed martial arts,stanozolol metabolites,2-year suspension,2017-10-20,FALSE,FALSE,FALSE
"taylor, jesse",mixed martial arts,clomiphene,1-year suspension,2017-10-13,FALSE,FALSE,FALSE
"vance, shaquille",paralympic track & field,non-analytical: evading sample collection,4 year suspension with 1 year reduction - loss of results,2017-10-10,FALSE,FALSE,TRUE
"roehrick, nick",mixed martial arts,clomiphene and its metabolite,1-year suspension,2017-09-21,FALSE,FALSE,FALSE
"schiefer, john",cycling,clomiphene and its metabolite,6-month suspension - loss of results,2017-09-06,FALSE,FALSE,FALSE
"wuebben, zachary",weightlifting,clomiphene and methylphenidate metabolite ritalinic acid,4-year suspension - loss of results,2017-08-31,FALSE,FALSE,FALSE
"heinzl, sarah",paralympic basketball,non-analytical: use (higenamine),public warning,2017-08-29,FALSE,FALSE,TRUE
"leogrande, kayle",cycling,"raloxifene, ostarine, ibutamoren, gw1516 sulfone, rad140, lgd4033, andarine",8-year suspension - loss of results,2017-08-28,FALSE,FALSE,FALSE
"herbert, zack",weightlifting,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results; sanction tolled due to retirement; unretired - eligible to compete starting 3/7/2020,2017-08-22,FALSE,FALSE,FALSE
"cannetti, guido",mixed martial arts,"hydrochlorothiazide, chlorothiazide, ostarine and stanozolol metabolites",10-month suspension,2017-08-18,FALSE,FALSE,FALSE
"acevedo-fuller, carlee",weightlifting,"higenamine, 1,4-dimethylpentylamine",9-month suspension - loss of results,2017-08-16,FALSE,FALSE,FALSE
"goodwin, marquise",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2017-08-15,FALSE,FALSE,FALSE
"carter, chris",track & field,ostarine,9-month suspension - loss of results,2017-08-11,FALSE,FALSE,FALSE
"blazejack, tony",cycling,clenbuterol,4-year suspension - loss of results,2017-08-08,FALSE,FALSE,FALSE
"stohr, riley",luge,cannabinoids,6-month suspension - loss of results; sanction tolled due to retirement,2017-07-27,FALSE,FALSE,FALSE
"cruse, j.c.",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,2017-07-20,FALSE,TRUE,FALSE
"bushey, kayla",track & field,non-analytical: use and possession,2-year suspension - loss of results,2017-07-19,FALSE,FALSE,FALSE
"mcpherson, scott",track & field,androgenic anabolic steroid,4-year suspension - loss of results; sanction tolled due to retirement,2017-07-17,FALSE,FALSE,FALSE
"nguyen, tam",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2017-07-14,FALSE,FALSE,FALSE
"johnson, gea",cycling,modafinil,21-month suspension - loss of results,2017-07-07,FALSE,FALSE,FALSE
"barnes, benjamin",weightlifting,gw1516,4-year suspension - loss of results,2017-06-30,FALSE,FALSE,FALSE
"bayer, david",weightlifting,clomiphene and gw1516,2.5-year suspension - loss of results,2017-06-30,FALSE,FALSE,FALSE
"sullivan, george",mixed martial arts,clomiphene and its metabolite,1-year suspension; second violation,2017-06-20,FALSE,FALSE,FALSE
"gibilaro, ariel",archery,canrenone,public warning,2017-06-16,FALSE,FALSE,FALSE
"dykes, kelly",weightlifting,ostarine,8-year suspension - loss of results; second violation,2017-06-08,FALSE,FALSE,FALSE
"park, peter",paralympic track & field,androgenic anabolic steroid,21-month suspension - loss of results,2017-06-08,FALSE,FALSE,TRUE
"nackoul, michael",weightlifting,non-analytical: possession (peptides),4-year suspension - loss of results,2017-06-02,FALSE,FALSE,FALSE
"dosterschill, robert kyle",weightlifting,"androgenic anabolic steroid, amphetamine, drostanolone, mesterolone and dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,2017-05-31,FALSE,FALSE,FALSE
"moore, tyler",weightlifting,ostarine,4-year suspension - loss of results; sanction tolled due to retirement,2017-05-26,FALSE,FALSE,FALSE
"creveling, chris",speedskating,clomiphene,4-year suspension - loss of results; sanction tolled due to retirement,2017-05-15,FALSE,FALSE,FALSE
"young, jason",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2017-05-12,FALSE,FALSE,FALSE
"gastelum, kelvin",mixed martial arts,cannabinoids,6-month suspension with 3-month deferral,2017-05-11,FALSE,FALSE,FALSE
"gingras, michael",weightlifting - athlete support personnel,"non-analytical: possession, trafficking, and administration",lifetime suspension with reduction  to 12 years - loss of results; sanction tolled due to retirement,2017-05-11,TRUE,FALSE,FALSE
"oliver, imani",track & field,ostarine,1-year suspension - loss of results,2017-05-09,FALSE,FALSE,FALSE
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),4-year suspension: sanction is tolled until athlete returns from retirement. second violation.,2017-05-05,FALSE,FALSE,FALSE
"moore, darien",track & field,methandienone,4-year suspension - loss of results,2017-05-04,FALSE,FALSE,FALSE
"harvey, scot",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2017-05-03,FALSE,FALSE,FALSE
"nielson, cliff",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results,2017-05-02,FALSE,FALSE,FALSE
"beckwith-ludlow, molly",track & field,clomiphene,public warning,2017-05-01,FALSE,FALSE,FALSE
"mir, francisco",mixed martial arts,dehydrochloromethyltestosterone (dhcmt),2-year suspension,2017-04-21,FALSE,FALSE,FALSE
"rollins, brianna",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2017-04-20,FALSE,FALSE,FALSE
"geving, amanda",cycling,acetazolamide,12-month suspension - loss of results,2017-04-19,FALSE,FALSE,FALSE
"schrodt, patrick ""dillon""",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,2017-04-06,FALSE,TRUE,FALSE
"ledet, justin",mixed martial arts,1-testosterone and 1-androstenedione,4-month suspension,2017-04-05,FALSE,FALSE,FALSE
"good, lyman",mixed martial arts,1-androstenedione and its metabolite,6-month suspension,2017-04-03,FALSE,FALSE,FALSE
"nicolau pereira, matheus",mixed martial arts,anastrozole,1-year suspension,2017-03-29,FALSE,FALSE,FALSE
"hall, mary",weightlifting,oxandrolone and its metabolite,4-year suspension - loss of results,2017-03-28,FALSE,FALSE,FALSE
"pires nogueira, leonardo",brazilian jiu-jitsu,clomiphene,2-year suspension - loss of results,2017-03-27,FALSE,FALSE,FALSE
"andrade, viscardi",mixed martial arts,stanozolol and its metabolites,2-year suspension,2017-03-21,FALSE,FALSE,FALSE
"dykes, kelly",weightlifting,"clenbuterol, ostarine, and a tamoxifen metabolite",4-year suspension - loss of results,2017-03-16,FALSE,FALSE,FALSE
"green, roderick","paralympic track & field, paralympic volleyball",ostarine,9-month suspension - loss of results,2017-03-14,FALSE,TRUE,TRUE
"prenoveau, robert",paralympic curling,hydrochlorothiazide and chlorothiazide,public warning - loss of results,2017-03-07,FALSE,FALSE,TRUE
"cosby-toruga, jessica",track & field,androgenic anabolic steroid,6-year suspension - loss of results; second violation; sanction tolled due to retirement,2017-03-06,FALSE,FALSE,FALSE
"dawson, gabriel",weightlifting,amphetamine,4-year suspension - loss of results,2017-03-02,FALSE,FALSE,FALSE
"lawlor, tom",mixed martial arts,ostarine,2-year suspension,2017-02-24,FALSE,FALSE,FALSE
"pierik, vincent",weightlifting,"19-norandrosterone (19-na), drostanolone and its metabolites, and epitrenbolone",4-year suspension - loss of results,2017-02-21,FALSE,FALSE,FALSE
"harper-nelson, dawn",track & field,hydrochlorothiazide,3-month suspension - loss of results,2017-02-07,FALSE,FALSE,FALSE
"olivieri, luis felipe",mixed martial arts,methyltestosterone,2-year suspension,2017-01-25,FALSE,FALSE,FALSE
"vrabel, andrew",weightlifting,non-analytical,4-year suspension - loss of results; sanction tolled due to retirement,2017-01-11,FALSE,FALSE,FALSE
"chan, charis",weightlifting,epitrenbolone,4-year suspension - loss of results,2017-01-09,FALSE,FALSE,FALSE
"matsushima, angelique",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,2017-01-06,FALSE,FALSE,FALSE
"lesnar, brock",mixed martial arts,clomiphene,1-year suspension,2017-01-04,FALSE,FALSE,FALSE
"lamour, joseph",team handball,amphetamine,2-year suspension - loss of results,2016-12-22,FALSE,FALSE,FALSE
"ferreira, carlos diego",mixed martial arts,ostarine and 7-keto-dhea,17-month suspension,2016-12-21,FALSE,FALSE,FALSE
"mazzie, joseph",roller sports,rad140 and ibutamoren,4-year suspension - loss of results,2016-12-20,FALSE,FALSE,FALSE
"hudson, ryan",weightlifting,stanozolol metabolites,4-year suspension - loss of results,2016-12-15,FALSE,FALSE,FALSE
"mossberg, nick",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2016-12-14,FALSE,FALSE,FALSE
"luton, thomas",cycling,"non-analytical: use and possession (epo, hgh, testosterone)",4-year suspension - loss of results,2016-12-13,FALSE,FALSE,FALSE
"reyes, brandon",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,2016-12-07,FALSE,FALSE,FALSE
"moore, nicole",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,2016-12-05,FALSE,FALSE,FALSE
"pinney, ryan",paralympic cycling,androgenic anabolic steroid,18-month suspension - loss of results,2016-12-01,FALSE,FALSE,TRUE
"machida, lyoto",mixed martial arts,7?keto?dhea,18-month suspension,2016-11-16,FALSE,FALSE,FALSE
"sullivan, george",mixed martial arts,non-analytical: use (igf-1),1-year suspension,2016-11-08,FALSE,FALSE,FALSE
"dunkum, michael",wrestling,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2016-11-07,FALSE,FALSE,FALSE
"jones, jon",mixed martial arts,"clomiphene, letrozole",1-year suspension,2016-11-07,FALSE,FALSE,FALSE
"bidlow, cody",track & field,non-analytical:: use (peptides),4-year suspension - loss of results,2016-11-03,FALSE,FALSE,FALSE
"root, tim",cycling,non-analytical: failure to appear to sample collection,4-year suspension - loss of results,2016-11-02,FALSE,FALSE,FALSE
"ulloa, camilo",cycling,androgenic anabolic steroid and methylphenidate,4-year suspension - loss of results,2016-10-26,FALSE,FALSE,FALSE
"edilov, abdul-kerim",mixed martial arts,meldonium,15 month suspension - loss of results,2016-10-21,FALSE,FALSE,FALSE
"danielson, tom",cycling,androgenic anabolic steroid,4-year suspension - loss of results; second violation,2016-10-06,FALSE,FALSE,FALSE
"diaz, nate",mixed martial arts,cannabinoids,public warning,2016-10-06,FALSE,FALSE,FALSE
"d'aurelio, shawn",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2016-10-03,FALSE,FALSE,FALSE
"kimmons, trell",track & field,"1,3-dimethylbutylamine",2-year suspension - loss of results,2016-09-27,FALSE,FALSE,FALSE
"schwab, jeff",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2016-09-08,FALSE,FALSE,FALSE
"rivera, rizelyx",weightlifting,oxycodone,1-year suspension - loss of results,2016-09-06,FALSE,FALSE,FALSE
"fagua raquira, ana milena",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2016-09-01,FALSE,FALSE,FALSE
"denney phillips, jessica","cycling, weightlifting",non-analytical: use (iv),14 month suspension - loss of results,2016-08-24,FALSE,TRUE,FALSE
"baatz, robert",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2016-08-23,FALSE,FALSE,FALSE
"ciolli, kimberly",cycling,androgenic anabolic steroid and propylhexadrine,2-year suspension - loss of results,2016-08-22,FALSE,FALSE,FALSE
"burka gameda, gebo",track & field,prednisone,18-month suspension - loss of results,2016-08-19,FALSE,FALSE,FALSE
"verrando-higgins, mary",cycling,metabolites of methyltestosterone,1-year suspension - loss of results,2016-08-15,FALSE,FALSE,FALSE
"riggs, crystal",weightlifting,furosemide,6-month suspension - loss of results,2016-08-12,FALSE,FALSE,FALSE
"cawley, thomas",track & field,non-analytical: use,4-year suspension - loss of results; sanction tolled due to retirement,2016-08-11,FALSE,FALSE,FALSE
"anderson, robert",paralympic judo,non-analytical: use (vilanterol),3-month suspension - loss of results,2016-08-04,FALSE,FALSE,TRUE
"palmer, liz",track & field,methandienone metabolite,4-year suspension with 6 month reduction - loss of results,2016-08-03,FALSE,FALSE,FALSE
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),2-year suspension - loss of results,2016-07-29,FALSE,FALSE,FALSE
"bough, gino",karate,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2016-07-25,FALSE,FALSE,FALSE
"mendes, chad",mixed martial arts,growth hormone-releasing hexapeptide,2-year suspension - loss of results,2016-07-20,FALSE,FALSE,FALSE
"pizza, gregory",track & field,androgenic anabolic steroid,20-month suspension - loss of results,2016-07-20,FALSE,FALSE,FALSE
"dutta, susan",equestrian,methylprednisolone,public warning - loss of results,2016-07-19,FALSE,FALSE,FALSE
"howe, james",taekwondo,cannabinoids,6-month suspension with 3-month deferral - loss of results,2016-07-12,FALSE,FALSE,FALSE
"brandt-sorenson, nick",cycling,"non-analytical: possession, trafficking and complicity  (epo & hgh)",lifetime suspension - loss of results; second & third violation,2016-07-11,FALSE,FALSE,FALSE
"penn, bj",mixed martial arts,non-analytical: use (iv),6-month suspension,2016-06-27,FALSE,FALSE,FALSE
"tierney, sam",swimming,non-analytical: use (vilanterol),public warning,2016-06-24,FALSE,FALSE,FALSE
"berry, gwen",track & field,non-analytical: use (vilanterol),3-month suspension - loss of results,2016-06-13,FALSE,FALSE,FALSE
"williams, nia",rugby,"19-norandrosterone (19-na), 19-noretiocholanolone, and drostanolone and its metabolites",4-year suspension - loss of results,2016-06-13,FALSE,FALSE,FALSE
"means, tim",mixed martial arts,ostarine,6-month suspension - loss of results,2016-06-10,FALSE,FALSE,FALSE
"brandao, diego",mixed martial arts,cannabinoids,9-month suspension - loss of results,2016-05-19,FALSE,FALSE,FALSE
"faria, breno correina abrantes",brazilian jiu-jitsu - athlete support personnel,non-analytical,4-year suspension - loss of results,2016-05-18,TRUE,FALSE,FALSE
"lehr, daniel",weightlifting,"androstenedione, ostarine",4-year suspension with 3-month reduction - loss of results,2016-05-02,FALSE,FALSE,FALSE
"lugo, yamile",cycling,androgenic anabolic steroid,4-year suspension with 2-year reduction - loss of results,2016-04-26,FALSE,FALSE,FALSE
"romero, yoel",mixed martial arts,ibutamoren,6-month suspension,2016-04-04,FALSE,FALSE,FALSE
"de castroverde, landon",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2016-04-01,FALSE,FALSE,FALSE
"paulson, ashley",triathlon,ostarine,6-month suspension - loss of results,2016-03-31,FALSE,FALSE,FALSE
"cho, chris hyun",weightlifting,dimethylbutylamine,6-month suspension - loss of results,2016-03-30,FALSE,FALSE,FALSE
"buckley, michael",cycling,"androgenic anabolic steroid, anastrozole, lgd-4033 and ostarine",4-year suspension - loss of results,2016-03-25,FALSE,FALSE,FALSE
"lo, wayne",paralympic table tennis,hydrochlorothiazide and chlorothiazide,public warning - loss of results,2016-03-09,FALSE,FALSE,TRUE
"tibau, gleison",mixed martial arts,erythropoietin (epo),2-year suspension - loss of results,2016-02-18,FALSE,FALSE,FALSE
"leeper, blake (patrick)",paralympic track & field,benzoylecgonine,1-year suspension - loss of results,2016-02-01,FALSE,FALSE,TRUE
"kyle, cicely",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,2015-12-30,FALSE,FALSE,FALSE
"roberto, joseph",weightlifting,ghrp-2,4-year suspension - loss of results,2015-12-29,FALSE,FALSE,FALSE
"mariita, lilian",track & field,androgenic anabolic steroid,8-year suspension - loss of results,2015-12-28,FALSE,FALSE,FALSE
"harbert, tara",baseball,tamoxifen and non-analytical: refusal to submit to sample collection,8-year suspension - loss of results; sanction tolled due to retirement,2015-12-21,FALSE,FALSE,FALSE
"rolo, nelson",cycling,benzoylecgonine,1-year suspension - loss of results,2015-12-11,FALSE,FALSE,FALSE
"hickman, todd",cycling,stanozolol / methylphenidate,4-year suspension - loss of results,2015-12-04,FALSE,FALSE,FALSE
"filipovic, mirko",mixed martial arts,human growth hormone (hgh),2-year suspension - loss of results,2015-11-25,FALSE,FALSE,FALSE
"arello jr., robert",track & field,"hydrochlorothiazide, chlorothiazide",public warning - loss of results,2015-10-27,FALSE,FALSE,FALSE
"coushay, brian",track & field,amphetamine,2-year suspension - loss of results,2015-10-23,FALSE,FALSE,FALSE
"mulwitz, lauren",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2015-09-11,FALSE,FALSE,FALSE
"rybka, jason",weightlifting,"methasterone, ostarine, androstatrienedione",4-year suspension with 8 month reduction - loss of results,2015-08-18,FALSE,FALSE,FALSE
"field, emily",ice hockey,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2015-06-08,FALSE,FALSE,FALSE
"radcliffe, robert",triathlon,"non-analytical: use and possession (epo, hgh)",18-month suspension - loss of results,2015-06-05,FALSE,FALSE,FALSE
"radcliffe, brook",triathlon,non-analytical: use and possession (epo),2-year suspension - loss of results,2015-06-04,FALSE,FALSE,FALSE
"schmidt, kyle",cycling,non-analytical: use and possession (epo),2-year suspension - loss of results,2015-06-02,FALSE,FALSE,FALSE
"pena, felipe",brazilian jiu-jitsu,androgenic anabolic steroid,2-year suspension with 1 year reduction - loss of results,2015-05-26,FALSE,FALSE,FALSE
"luck, jonathan (carter)",cycling,non-analytical: use and possession (hgh & testosterone),12-month suspension - loss of results,2015-05-13,FALSE,FALSE,FALSE
