"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"collier, jake","mixed martial arts","higenamine","10-month suspension","02/19/2019",2019-02-19,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"sorensen, ira","cycling","androgenic anabolic steroid","2-year suspension; loss of results","02/12/2019",2019-02-12,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"pate, jennifer","cycling","androgenic anabolic steroid","4-year suspension; loss of results","02/11/2019",2019-02-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"cuicchi, trevor","weightlifting","ostarine","9-month suspension; loss of results","01/28/2019",2019-01-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"juneau scott, cory","skateboarding","cannabinoids","6-month suspension with 3-month deferral - loss of results","01/22/2019",2019-01-22,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"brown, robert","weightlifting","heptaminol","9-month suspension; loss of results","01/14/2019",2019-01-14,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"pate, david","cycling","androgenic anabolic steroid","4-year suspension; loss of results","12/20/2018",2018-12-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"zeng, laura","gymnastics","acetazolamide","6-month suspension; loss of results","12/19/2018",2018-12-19,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"lopez, enrique","cycling","erythropoietin (epo)","4-year suspension - loss of results","11/12/2018",2018-11-12,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"strickler, steven","cycling","androgenic anabolic steroid","4-year suspension - loss of results","11/07/2018",2018-11-07,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"reyes, polo","mixed martial arts","ostarine","6-month suspension","10/29/2018",2018-10-29,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"tanski, jeff","cycling","androgenic anabolic steroid","4-year suspension - loss of results","10/18/2018",2018-10-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"scott, bradley","mixed martial arts","cocaine","2-year suspension; sanction tolled due to retirement","10/16/2018",2018-10-16,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"gonzalez, mijail","cycling","dexamethasone","4-year suspension - loss of results","10/03/2018",2018-10-03,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"butterworth, andrew","weightlifting","stanozolol","42-month suspension - loss of results; sanction tolled due to retirement","09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"jones, jon","mixed martial arts","chlorine-substituted anabolic steroid","15-month suspension - loss of results","09/19/2018",2018-09-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dudeck, cameron","weightlifting","dhcmt","4-year suspension - loss of results","09/17/2018",2018-09-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"bedford, stephen","cycling","cannabinoids","6-month suspension with 3-month deferral - loss of results","09/12/2018",2018-09-12,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"francis, victoria","wrestling","ostarine","1-year suspension - loss of results","08/31/2018",2018-08-31,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"ortiz, robert","weightlifting","1,4‐dimethylpentylamine","16-month suspension - loss of results","08/27/2018",2018-08-27,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"malinowski, emily","weightlifting","androgenic anabolic steroids","45-month suspension - loss of results","08/24/2018",2018-08-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"payne, demi","track & field","drostanolone","4-year suspension - loss of results","08/24/2018",2018-08-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"gaskins, joshua","weightlifting","androgenic anabolic steroids","2-year suspension - loss of results","08/22/2018",2018-08-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"boss, logan","track & field","canrenone","6-month suspension - loss of results","08/21/2018",2018-08-21,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"ssekyaaya, charles","weightlifting","1,3-dimethylbutylamine (dmba)","9-month suspension - loss of results","08/13/2018",2018-08-13,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"ferraro,  anthony","paralympic judo","cannabinoids","6-month suspension with 3-month deferral - loss of results","08/08/2018",2018-08-08,FALSE,TRUE,FALSE,"analytic","single","S8 CANNABINOIDS"
"mazur, bruce","cycling","androgenic anabolic steroids","4-year suspension - loss of results","08/01/2018",2018-08-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"casey, jack","swimming","anastrozole","6-month suspension - loss of results","07/26/2018",2018-07-26,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"meacham, michael","triathlon","androgenic anabolic steroids","1-year suspension - loss of results","06/29/2018",2018-06-29,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"oleksiejczuk, michał","mixed martial arts","clomiphene","1-year suspension","06/12/2018",2018-06-12,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"ainslie, roger","cycling","gw1516","42-month suspension - loss of results","06/08/2018",2018-06-08,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"brown, buster","cycling","androgenic anabolic steroid","2-year suspension - loss of results","06/01/2018",2018-06-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"chipangama, jordan","track & field","meldonium","4-year suspension - loss of results","05/15/2018",2018-05-15,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"colunga, cesar","karate","methylphenidate","4-month suspension - loss of results","05/09/2018",2018-05-09,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"dahlkemper, abigail","soccer","spironolactone","public warning","05/04/2018",2018-05-04,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"nogueira, antonio rogerio","mixed martial arts","hydrochlorothiazide","6-month suspension","04/23/2018",2018-04-23,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"almeida, junior dos santos","mixed martial arts","hydrochlorothiazide","6-month suspension","04/23/2018",2018-04-23,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"rivera, jessica","weightlifting","stanozolol","4-year suspension -  loss of results","04/16/2018",2018-04-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"miller, barry","cycling","androgenic anabolic steroid","1-year suspension -  loss of results","04/13/2018",2018-04-13,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lima, dylan","cycling","testosterone","3-year suspension - loss of results","04/10/2018",2018-04-10,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"britt, teresa","weightlifting","higenamine","2-year suspension - loss of results","04/09/2018",2018-04-09,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"rothwell, ben","mixed martial arts","testosterone","2-year suspension","04/06/2018",2018-04-06,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"gough, nicholas","triathlon","erythropoietin (epo)","4-year suspension - loss of results","04/02/2018",2018-04-02,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"rosiek, julie","triathlon","androgenic anabolic steroid","2-year suspension - loss of results","03/30/2018",2018-03-30,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"raymond, abby","weightlifting","ostarine","3-month suspension - loss of results","03/29/2018",2018-03-29,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lemos, amanda","mixed martial arts","stanozolol","2-year suspension","03/28/2018",2018-03-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"barnett, josh","mixed martial arts","ostarine","public warning","03/23/2018",2018-03-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"jarrett, kaitlyn","weightlifting","higenamine","1-year suspension - loss of results","03/23/2018",2018-03-23,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"calvillo, cynthia","mixed martial arts","cannabinoids","6-month suspension","03/07/2018",2018-03-07,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"anyanwu, azunna","mixed martial arts","furosemide","1-year suspension","03/02/2018",2018-03-02,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"tukhugov, zubaira","mixed martial arts","ostarine","2-year suspension","02/15/2018",2018-02-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"magomedov, ruslan","mixed martial arts","ostarine","2-year suspension","02/15/2018",2018-02-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"wallhead, jim","mixed martial arts","ostarine","9-month suspension","02/06/2018",2018-02-06,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"de tomas, carls john","mixed martial arts","furosemide","1-year suspension","02/05/2018",2018-02-05,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"mulheron, james","mixed martial arts","clomiphene","1-year suspension","01/30/2018",2018-01-30,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"schumm, jennifer","cycling","testosterone","4-year suspension - loss of results","01/25/2018",2018-01-25,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"jackson, sharon","racquetball","spironolactone","public warning","01/24/2018",2018-01-24,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"harrison, marck","boccia","chlorthalidone","public warning","01/24/2018",2018-01-24,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"grayson, lemuel","weightlifting","hydrochlorothiazide","public warning","01/22/2018",2018-01-22,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"beyer, bill","triathlon","testosterone","2-year suspension - loss of results","01/19/2018",2018-01-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"rivera, francisco","mixed martial arts","clenbuterol","4-year suspension","01/19/2018",2018-01-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"oliver, jordan","wrestling","amphetamine","1-year suspension - loss of results","01/09/2018",2018-01-09,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"penne, jessica","mixed martial arts","dehydroepiandrosterone (dhea)","18-month suspension","01/05/2018",2018-01-05,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"vennera, james","archery","metoprolol","public warning","01/05/2018",2018-01-05,FALSE,FALSE,FALSE,"analytic","single","P1 BETA-BLOCKERS"
"henderson, jay","cycling","cannabinoids","6-month suspension with 3-month deferral - loss of results","12/07/2017",2017-12-07,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"boss, logan","track & field","canrenone","public warning","12/06/2017",2017-12-06,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"roberts, lisa","triathlon","vilanterol","public warning - loss of results","11/10/2017",2017-11-10,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"bell, kenwood (kenta)","track & field","methylprednisolone","3-month suspension with 3-month deferral - loss of results","07/30/2007",2007-07-30,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"felipe cabral de almeida, carlos","mixed martial arts","stanozolol metabolites","2-year suspension","10/20/2017",2017-10-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"taylor, jesse","mixed martial arts","clomiphene","1-year suspension","10/13/2017",2017-10-13,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"carter, chris","track & field","ostarine","9-month suspension - loss of results","08/11/2017",2017-08-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"blazejack, tony","cycling","clenbuterol","4-year suspension - loss of results","08/08/2017",2017-08-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"stohr, riley","luge","cannabinoids","6-month suspension - loss of results; sanction tolled due to retirement","07/27/2017",2017-07-27,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"mcpherson, scott","track & field","androgenic anabolic steroid","4-year suspension - loss of results; sanction tolled due to retirement","07/17/2017",2017-07-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"johnson, gea","cycling","modafinil","21-month suspension - loss of results","07/07/2017",2017-07-07,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"barnes, benjamin","weightlifting","gw1516","4-year suspension - loss of results","06/30/2017",2017-06-30,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"gibilaro, ariel","archery","canrenone","public warning","06/16/2017",2017-06-16,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"dykes, kelly","weightlifting","ostarine","8-year suspension - loss of results; second violation","06/08/2017",2017-06-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"park, peter","paralympic track & field","androgenic anabolic steroid","21-month suspension - loss of results","06/08/2017",2017-06-08,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"moore, tyler","weightlifting","ostarine","4-year suspension - loss of results; sanction tolled due to retirement","05/26/2017",2017-05-26,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"creveling, chris","speedskating","clomiphene","4-year suspension - loss of results; sanction tolled due to retirement","05/15/2017",2017-05-15,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"gastelum, kelvin","mixed martial arts","cannabinoids","6-month suspension with 3-month deferral","05/11/2017",2017-05-11,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"oliver, imani","track & field","ostarine","1-year suspension - loss of results","05/09/2017",2017-05-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"moore, darien","track & field","methandienone","4-year suspension - loss of results","05/04/2017",2017-05-04,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"beckwith-ludlow, molly","track & field","clomiphene","public warning","05/01/2017",2017-05-01,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"mir, francisco","mixed martial arts","dehydrochloromethyltestosterone (dhcmt)","2-year suspension","04/21/2017",2017-04-21,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"geving, amanda","cycling","acetazolamide","12-month suspension - loss of results","04/19/2017",2017-04-19,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"nicolau pereira, matheus","mixed martial arts","anastrozole","1-year suspension","03/29/2017",2017-03-29,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"pires nogueira, leonardo","brazilian jiu-jitsu","clomiphene","2-year suspension - loss of results","03/27/2017",2017-03-27,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"cosby-toruga, jessica","track & field","androgenic anabolic steroid","6-year suspension - loss of results; second violation; sanction tolled due to retirement","03/06/2017",2017-03-06,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dawson, gabriel","weightlifting","amphetamine","4-year suspension - loss of results","03/02/2017",2017-03-02,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"lawlor, tom","mixed martial arts","ostarine","2-year suspension","02/24/2017",2017-02-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"harper-nelson, dawn","track & field","hydrochlorothiazide","3-month suspension - loss of results","02/07/2017",2017-02-07,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"olivieri, luis felipe","mixed martial arts","methyltestosterone","2-year suspension","01/25/2017",2017-01-25,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"chan, charis","weightlifting","epitrenbolone","4-year suspension - loss of results","01/09/2017",2017-01-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"matsushima, angelique","weightlifting","cannabinoids","6-month suspension with 3-month deferral - loss of results","01/06/2017",2017-01-06,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"lesnar, brock","mixed martial arts","clomiphene","1-year suspension","01/04/2017",2017-01-04,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"lamour, joseph","team handball","amphetamine","2-year suspension - loss of results","12/22/2016",2016-12-22,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"hudson, ryan","weightlifting","stanozolol metabolites","4-year suspension - loss of results","12/15/2016",2016-12-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"reyes, brandon","weightlifting","1,3-dimethylbutylamine (dmba)","6-month suspension - loss of results","12/07/2016",2016-12-07,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"moore, nicole","weightlifting","1,3-dimethylbutylamine (dmba)","6-month suspension - loss of results","12/05/2016",2016-12-05,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"pinney, ryan","paralympic cycling","androgenic anabolic steroid","18-month suspension - loss of results","12/01/2016",2016-12-01,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"machida, lyoto","mixed martial arts","7-keto-dhea","18-month suspension","11/16/2016",2016-11-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"edilov, abdul-kerim","mixed martial arts","meldonium","15 month suspension - loss of results","10/21/2016",2016-10-21,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"danielson, tom","cycling","androgenic anabolic steroid","4-year suspension - loss of results; second violation","10/06/2016",2016-10-06,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"diaz, nate","mixed martial arts","cannabinoids","public warning","10/06/2016",2016-10-06,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"kimmons, trell","track & field","1,3-dimethylbutylamine","2-year suspension - loss of results","09/27/2016",2016-09-27,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"schwab, jeff","cycling","androgenic anabolic steroid","2-year suspension - loss of results","09/08/2016",2016-09-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"rivera, rizelyx","weightlifting","oxycodone","1-year suspension - loss of results","09/06/2016",2016-09-06,FALSE,FALSE,FALSE,"analytic","single","S7 NARCOTICS"
"fagua raquira, ana milena","cycling","androgenic anabolic steroid","4-year suspension - loss of results","09/01/2016",2016-09-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"baatz, robert","cycling","androgenic anabolic steroid","2-year suspension - loss of results","08/23/2016",2016-08-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"burka gameda, gebo","track & field","prednisone","18-month suspension - loss of results","08/19/2016",2016-08-19,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"verrando-higgins, mary","cycling","metabolites of methyltestosterone","1-year suspension - loss of results","08/15/2016",2016-08-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"riggs, crystal","weightlifting","furosemide","6-month suspension - loss of results","08/12/2016",2016-08-12,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"palmer, liz","track & field","methandienone metabolite","4-year suspension with 6 month reduction - loss of results","08/03/2016",2016-08-03,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mendes, chad","mixed martial arts","growth hormone-releasing hexapeptide","2-year suspension - loss of results","07/20/2016",2016-07-20,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"pizza, gregory","track & field","androgenic anabolic steroid","20-month suspension - loss of results","07/20/2016",2016-07-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dutta, susan","equestrian","methylprednisolone","public warning - loss of results","07/19/2016",2016-07-19,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"howe, james","taekwondo","cannabinoids","6-month suspension with 3-month deferral - loss of results","07/12/2016",2016-07-12,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"means, tim","mixed martial arts","ostarine","6-month suspension - loss of results","06/10/2016",2016-06-10,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"brandao, diego","mixed martial arts","cannabinoids","9-month suspension - loss of results","05/19/2016",2016-05-19,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"lugo, yamile","cycling","androgenic anabolic steroid","4-year suspension with 2-year reduction - loss of results","04/26/2016",2016-04-26,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"romero, yoel","mixed martial arts","ibutamoren","6-month suspension","04/04/2016",2016-04-04,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"paulson, ashley","triathlon","ostarine","6-month suspension - loss of results","03/31/2016",2016-03-31,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"cho, chris hyun","weightlifting","dimethylbutylamine","6-month suspension - loss of results","03/30/2016",2016-03-30,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"tibau, gleison","mixed martial arts","erythropoietin (epo)","2-year suspension - loss of results","02/18/2016",2016-02-18,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"leeper, blake (patrick)","paralympic track & field","benzoylecgonine","1-year suspension - loss of results","02/01/2016",2016-02-01,FALSE,TRUE,FALSE,"analytic","single","S6 STIMULANTS"
"kyle, cicely","weightlifting","androgenic anabolic steroid","2-year suspension - loss of results","12/30/2015",2015-12-30,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"roberto, joseph","weightlifting","ghrp-2","4-year suspension - loss of results","12/29/2015",2015-12-29,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"mariita, lilian","track & field","androgenic anabolic steroid","8-year suspension - loss of results","12/28/2015",2015-12-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"rolo, nelson","cycling","benzoylecgonine","1-year suspension - loss of results","12/11/2015",2015-12-11,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"filipovic, mirko","mixed martial arts","human growth hormone (hgh)","2-year suspension - loss of results","11/25/2015",2015-11-25,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"coushay, brian","track & field","amphetamine","2-year suspension - loss of results","10/23/2015",2015-10-23,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"mulwitz, lauren","cycling","cannabinoids","6-month suspension with 3-month deferral - loss of results","09/11/2015",2015-09-11,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"pena, felipe","brazilian jiu-jitsu","androgenic anabolic steroid","2-year suspension with 1 year reduction - loss of results","05/26/2015",2015-05-26,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"ketema asfaw, atalelech","track & field","ephedrine","2-year suspension - loss of results","03/12/2015",2015-03-12,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"poole, quintaveon","track & field","methylhexaneamine","6-month suspension - loss of results","01/20/2015",2015-01-20,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"anderson, kristi","track & field","androgenic anabolic steroid","1-year suspension - loss of results","12/23/2014",2014-12-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mcpherson, inika","track & field","benzoylecgonine","21-month suspension - loss of results","12/19/2014",2014-12-19,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"estima, braulio","brazilian jiu-jitsu","methylhexaneamine","2-year suspension - loss of results","11/25/2014",2014-11-25,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"perkins, ravaughn","wrestling","furosemide","6-month suspension - loss of results","10/16/2014",2014-10-16,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"dana, ryan","weightlifting","androgenic anabolic steroid","21-month suspension - loss of results","10/09/2014",2014-10-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"spearmon, jr., wallace","track & field","methylprednisolone","3-month suspension - loss of results","09/19/2014",2014-09-19,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"loader, logan","cycling","methylhexaneamine","8-month suspension - loss of results; sanction tolled due to retirement","07/16/2014",2014-07-16,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"blanc, obenson","wrestling","ostarine","2-year suspension - loss of results","05/15/2014",2014-05-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"robertson, todd","cycling","modafinil","8-year suspension - loss of results; second violation","05/08/2014",2014-05-08,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"gay, tyson","track & field","androgenic anabolic steroid","2-year suspension with 1 year reduction - loss of results","05/02/2014",2014-05-02,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lemos garcia, gabrielle","brazilian jiu-jitsu","clomiphene","loss of results","03/26/2014",2014-03-26,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"o'keefe, shannon","bowling","clomiphene","public warning","03/14/2014",2014-03-14,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"beyene, hirut","track & field","methylhexaneamine","4 month suspension - loss of results","02/21/2014",2014-02-21,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"marte, cesar","cycling","modafinil","2-year suspension - loss of results","02/03/2014",2014-02-03,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"baker, daniel","cycling","androgenic anabolic steroid","2-year suspension - loss of results","01/24/2014",2014-01-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"robles, sarah","weightlifting","androgenic anabolic steroid","2-year suspension - loss of results","01/14/2014",2014-01-14,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"klineman, alexandra","volleyball","androgenic anabolic steroid","13-month suspension - loss of results","12/20/2013",2013-12-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"akor, mary","track & field","clenbuterol","2-year suspension - loss of results","12/18/2013",2013-12-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"rogers, jason","cycling","methylhexaneamine","9-month suspension - loss of results","11/27/2013",2013-11-27,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
